CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3913094,194,373,246,426,1,59
3913094,3911722,1,230,246,426,1,59
3911722,3913145,194,373,190,286,1,88
3913145,3911722,401,417,246,426,1,88
3911722,3913154,194,373,100,314,1,170
3913154,3911722,194,369,246,426,1,170
3911722,3913146,194,373,100,338,1,104
3913146,3911722,194,375,246,426,1,104
3911722,3913116,194,373,246,426,1,59
3913116,3911722,1,230,246,426,1,59
3911722,3913120,194,373,246,426,1,59
3913120,3911722,1,230,246,426,1,59
3911722,3913165,194,373,156,297,1,100
3913165,3911722,210,374,246,426,1,100
3911722,3913166,194,373,100,314,1,170
3913166,3911722,194,369,246,426,1,170
3911722,3912842,194,373,108,212,1,202
3912842,3911722,359,442,246,426,1,202
3911722,3913179,194,373,100,337,1,105
3913179,3911722,194,375,246,426,1,105
3911722,3913132,194,373,246,426,1,59
3913132,3911722,402,424,246,426,1,59
3911722,3913156,194,373,246,426,1,59
3913156,3911722,262,451,246,426,1,59
3911722,3913182,194,373,190,286,1,88
3913182,3911722,401,417,246,426,1,88
3911722,3913193,194,373,156,297,1,100
3913193,3911722,210,374,246,426,1,100
3911722,3913161,194,373,246,426,1,59
3913161,3911722,262,451,246,426,1,59
3911722,3913167,194,373,246,426,1,59
3913167,3911722,262,451,246,426,1,59
3911722,3911706,194,373,104,265,1,172
3911706,3911722,194,375,246,426,1,172
3911722,3913185,194,373,246,426,1,59
